outcome,loan,scholarship,cdw_count,first_gen,on_campus
Did not Graduate,2.7939999,0,2,1,1
Graduated,3.2650001,1,1,0,1
Graduated,6.9640002,0,0,1,1
Graduated,0,0,0,1,1
Graduated,0,0,0,1,1
Graduated,0,0,0,1,1
Graduated,3.5439999,0,4,1,1
Graduated,0,0,1,0,1
Graduated,3.737,1.5,0,1,1
Graduated,0,0,0,1,1
Graduated,0,1.5,0,1,1
Transferred,0,0,0,1,0
Graduated,0,0,1,0,1
Transferred,0,0,0,1,1
Graduated,0,0,2,0,1
Did not Graduate,0,0,2,1,1
Graduated,0,0,0,1,1
Did not Graduate,0,0,0,0,1
Graduated,0,0,0,1,1
Graduated,7.1490002,0,1,1,1
Did not Graduate,0,0,3,0,1
Graduated,0,0,0,1,1
Graduated,0,2.5,0,1,0
Transferred,0.917,0,2,0,1
Did not Graduate,2.4330001,0,0,1,1
Graduated,1.645,0,3,1,1
Graduated,0,0,0,1,0
Graduated,0,0,2,1,1
Graduated,2.2690001,0,0,0,1
Graduated,0,0,1,1,1
Did not Graduate,0,0,1,0,1
Graduated,0,0,0,1,1
Graduated,1.294,0,0,1,1
Did not Graduate,0,0,2,0,0
Graduated,0,2.5,3,1,1
Graduated,0,0,2,0,1
Did not Graduate,4.5500002,0,4,1,1
Graduated,3.5439999,0,0,0,1
Transferred,0,0,2,1,1
Graduated,0,0,1,1,1
Graduated,3.5439999,0,2,1,1
Graduated,1.281,2.5,0,1,0
Graduated,1.294,0,0,1,1
Graduated,0.92900002,2.5,0,0,1
Graduated,0,0,0,1,1
Graduated,3.5439999,1.5,1,1,1
Graduated,0,0,0,0,1
Graduated,0,0,0,0,1
Graduated,1.294,0,1,1,0
Did not Graduate,0,0,2,1,0
Did not Graduate,0,0,2,1,1
Graduated,4.5970001,0,1,0,0
Did not Graduate,2.0810001,0,3,0,0
Graduated,4.8889999,1,0,1,1
Graduated,0,0.75,0,1,1
Graduated,6.3429999,0,0,0,1
Graduated,0,0,0,1,1
Graduated,2.7939999,0,0,1,0
Graduated,7.6370001,0,2,1,1
Graduated,0,1.5,0,1,1
Graduated,0,0,0,1,0
Did not Graduate,2.0739999,0,3,0,1
Graduated,0.5,0,1,1,1
Graduated,0,1.5,0,1,1
Graduated,0,0,1,1,1
Graduated,0,0,0,1,1
Graduated,1.294,0,0,1,1
Graduated,0,0,1,1,0
Graduated,0,0,3,1,0
Transferred,0,0,1,0,1
