id,degree,unmet,need,loan,scholarship,age19,onCampus,outstate,reciprocity,firstgen,act,ap,remedial,ratio,ccount,dcount,wcount
61,Graduate (original),8.467,1,0,2.5,0,1,0,0,1,32,0,0,100,0,0,0
62,Non-Graduate,1.712,0,1.294,0,0,0,0,0,1,25,0,0,100,2,0,0
63,Graduate (original),1.492,1.567,0,0,0,1,0,0,1,25,0,0,100,0,0,0
64,Graduate (transfer),1.251781,0,0,0,0,1,0,1,1,25,0,0,100,0,0,0
65,Graduate (transfer),0.97299999,0,0,0,0,1,0,1,1,31,8,0,100,0,0,0
66,Graduate (original),0,0.55000001,3.5439999,0,0,1,0,0,1,24,0,0,100,1,0,0
67,Graduate (original),0,1.25,4.257,0,0,1,0,1,0,24,0,0,100,0,0,0
68,Graduate (original),2.319,3.2520001,0,0,0,0,0,0,1,23,4,0,100,1,0,0
69,Non-Graduate,6.5339999,3.546,0,0,0,0,0,0,0,25,0,0,100,0,0,0
70,Graduate (original),0,4.632,0.49200001,2,0,1,0,0,1,28,0,0,81.25,2,0,1
71,Graduate (original),0,0,0,0,0,1,0,1,1,24,0,0,100,1,0,0
72,Graduate (original),0,0,3.431,0,0,0,0,0,1,26,0,0,100,1,0,0
73,Graduate (original),0.88,1.599,0,0,0,1,0,0,1,23,0,0,100,0,0,0
74,Non-Graduate,3.6400001,3.256,2.7939999,0,0,1,0,0,0,15,0,1,100,4,1,0
75,Graduate (original),0,0,6.3429999,0,0,1,0,0,1,29,21,0,100,0,0,0
76,Graduate (original),0,1.5,0,0,0,1,0,0,0,23,0,0,100,0,0,0
77,Graduate (original),0,0,4.2189999,0,0,1,1,0,1,28,0,0,100,0,0,0
78,Graduate (original),4.135397,0,0,0,0,0,1,0,0,19,4,0,90,0,0,0
79,Graduate (transfer),2.9389999,0,0,0,0,1,0,1,1,33,27,0,100,0,0,0
80,Graduate (original),2.2076361,0,0,0,0,0,0,1,1,24,0,0,100,0,0,0
81,Non-Graduate,1.633,5.0339999,0,0,0,0,0,0,1,18,0,0,100,1,2,0
82,Graduate (original),2.017,0,1.294,0,0,1,0,0,0,21,0,0,100,1,0,0
83,Graduate (original),6.5009999,1.7180001,0,0,0,1,0,0,1,25,0,0,100,0,0,0
84,Non-Graduate,0.050000001,3.8,2.256,0,0,1,0,0,1,28,0,0,100,0,0,0
85,Non-Graduate,0.77700001,5.256,0,0,0,0,0,0,1,20,0,1,80,2,0,1
86,Graduate (original),0,0,0,0,0,1,0,0,1,29,0,0,75,2,0,1
87,Graduate (original),1.096557,0,0,0,0,1,0,1,0,25,0,0,100,3,0,0
