id,degree,unmet,need,loan,scholarship,age19,onCampus,outstate,reciprocity,firstgen,act,ap,remedial,ratio,ccount,dcount,wcount
298,Graduate (original),1.082233,0,0,0,0,1,0,1,0,22,0,0,100,1,1,0
299,Graduate (original),0,1.5,0,0.5,0,1,0,1,1,30,0,0,100,0,0,0
300,Graduate (original),0.066,2.6099999,1.5,0,0,1,0,0,1,19,0,0,100,0,0,0
301,Non-Graduate,0,3.0699999,0,0,0,1,0,0,0,16,0,0,61.53846,2,0,2
302,Graduate (original),8.1680002,0,0,0,0,0,1,0,1,24,0,0,100,0,0,0
303,Graduate (transfer),1.046,3.654,1.615,1.5,0,1,0,0,1,32,0,0,68.75,1,0,1
304,Graduate (original),0,0,0,1.5,0,1,0,0,1,31,0,0,100,0,0,0
305,Graduate (original),2.7030001,5.493,0.97299999,0,1,1,0,0,1,16,0,0,100,0,0,0
306,Graduate (original),3.5899999,1.91,1.5,0,0,1,0,0,1,20,0,0,100,0,0,0
307,Graduate (original),0,0,1.294,0,0,1,0,0,1,29,0,0,81.25,1,1,0
308,Non-Graduate,0,0,0,0,0,1,0,0,0,27,0,0,100,0,0,0
309,Graduate (transfer),1.297248,0,0,0,0,1,0,1,1,25,0,0,100,1,0,0
310,Non-Graduate,11.436,2.0999999,0,0,1,0,0,0,0,24,0,0,100,2,0,0
311,Non-Graduate,0,0,2.25,0,0,1,0,0,0,19,0,1,100,1,0,0
312,Graduate (original),1.168131,0,0,0,0,1,0,1,1,23,0,0,100,2,0,0
313,Graduate (original),0,0,1.294,0,0,1,0,0,1,23,4,0,100,1,0,0
314,Graduate (original),0,0,0,1,0,1,0,0,1,28,4,0,81.25,0,0,1
315,Graduate (original),0.71200001,3.609,1.5,0,0,1,0,0,0,17,0,1,80,1,0,1
316,Graduate (original),19.827999,0,0,0,0,1,1,0,1,26,8,0,100,1,0,0
317,Graduate (original),0,0,1.294,0,0,1,0,1,0,21,0,0,81.25,1,0,1
318,Graduate (original),0,0,7.0619998,0,0,1,1,0,1,26,4,0,100,0,0,0
319,Graduate (original),0,0,2.757,0,0,1,0,0,1,25,0,0,100,0,0,0
320,Graduate (original),0,0,0,0,0,1,0,1,1,27,0,0,100,1,0,0
321,Graduate (original),2.6819999,0,0,0,0,1,0,0,0,17,0,1,100,2,0,0
322,Graduate (original),14.156,0.30000001,0,0,0,1,0,1,1,27,0,0,100,0,0,0
323,Non-Graduate,0,0,6.0120001,0,0,1,0,0,0,22,0,0,108.3333,0,1,0
324,Graduate (original),11.636,0.5,0,1.5,0,1,0,0,1,28,4,0,100,0,0,0
325,Graduate (original),0,0,0,0.5,0,1,0,1,1,33,31,0,100,0,0,0
326,Graduate (original),0,3.7290001,1.431,0,0,1,0,0,1,24,4,0,100,0,0,0
327,Graduate (transfer),1.911,0,5.6370001,0,0,0,0,1,0,19,0,1,100,0,0,0
328,Non-Graduate,1.637,1.988,1.217,0,0,0,0,0,1,22,0,0,100,1,0,0
329,Non-Graduate,0,0,0,0,0,1,0,0,0,23,0,0,76.92308,1,0,0
330,Graduate (original),0,0.75,0,2,0,1,0,0,1,34,0,0,100,0,0,0
331,Graduate (original),0,0,0,2.5,0,1,0,0,1,30,0,0,100,1,0,0
332,Non-Graduate,0,0,0,0,0,1,0,0,1,22,0,0,80,0,0,1
333,Graduate (original),0,1.25,3.677,0,0,1,0,0,1,32,14,0,100,0,0,0
334,Graduate (original),0,0,1.294,0,0,1,0,1,0,27,0,0,100,1,0,0
335,Graduate (original),0,0,0,0,0,1,0,1,1,25,0,0,100,1,0,0
336,Graduate (original),0,0,1.293,0,0,1,0,1,1,28,13,0,100,2,0,0
337,Non-Graduate,0,3.0480001,2.836,0,1,0,0,0,1,26,0,0,100,0,0,0
338,Graduate (original),0,0,1.295,0,0,1,0,0,0,22,0,0,100,2,0,0
339,Graduate (original),1.704394,0,0,0,0,1,0,0,1,29,0,0,100,1,0,0
340,Graduate (original),0,3.734,0,0,0,1,0,0,0,25,0,0,100,1,0,0
341,Graduate (original),6.2930002,4,9.717,0,0,1,1,0,1,25,8,0,100,0,0,0
342,Graduate (original),0,0,0,0,0,1,0,0,1,27,22,0,100,0,0,0
343,Graduate (original),0,0,0,0,0,1,0,0,1,28,0,0,80,1,2,0
344,Graduate (original),0,0,0,1,0,1,0,0,1,25,0,0,100,1,1,0
345,Graduate (original),0.34,0,1.294,0,0,1,0,1,0,19,0,0,100,3,0,0
346,Graduate (original),0,0,5.7379999,0.5,0,1,0,0,0,29,11,0,100,1,0,0
347,Graduate (original),0,4.1069999,1.023,0,0,1,0,0,1,21,0,0,76.470589,1,0,1
348,Graduate (original),1.442,1.55,4.7490001,0,0,1,0,0,1,28,4,0,100,0,0,0
349,Non-Graduate,0,0.5,6.5739999,0,0,1,0,1,1,23,0,0,100,2,0,0
350,Non-Graduate,3.4732461,0,0,0,0,0,1,0,0,16,0,1,0,0,0,5
351,Graduate (original),1.686,0.89200002,0,0,0,1,0,0,1,28,0,0,76.470589,0,1,0
352,Graduate (original),0,9,0,0,0,1,0,0,1,28,39,0,100,0,0,0
353,Non-Graduate,0.27200001,4.4549999,2.987,0,0,1,0,0,1,23,0,1,0,0,0,1
354,Graduate (transfer),0.23999999,0.49700001,5.0440001,0,0,1,0,0,1,21,0,0,100,1,0,0
355,Graduate (original),1.932,2.971,2.7939999,0,0,1,0,0,1,25,4,0,100,0,0,0
356,Graduate (original),1.646239,0,0,0,0,1,0,1,1,29,15,0,100,0,0,0
357,Graduate (original),0.034000002,4.3309999,0.242,0.67500001,0,1,0,0,1,26,0,0,100,1,0,0
358,Graduate (original),0.338,3.934,1.5,0,0,1,0,0,1,29,0,0,100,0,0,0
359,Graduate (original),0,0,1.294,2.5,0,1,0,1,0,31,12,0,100,0,0,0
360,Non-Graduate,3.8889999,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1
361,Graduate (original),0,0.67699999,6.1950002,1,0,0,0,0,0,25,0,0,75,0,1,0
362,Graduate (transfer),0,0.36623001,1.294,0,0,0,0,0,0,21,0,0,100,0,0,0
363,Graduate (original),15.636,0,0,0,0,1,0,0,0,21,0,1,100,1,0,0
364,Non-Graduate,2.5220239,0,0,0,0,0,0,0,0,26,0,0,75,2,1,0
365,Graduate (original),0,0,5.1939998,0,0,1,0,1,1,26,0,0,100,1,0,0
366,Non-Graduate,0,0,5.1939998,0,0,1,0,1,1,25,0,0,100,0,0,0
367,Non-Graduate,0,1.75,3.2980001,0,0,1,0,1,1,30,0,0,50,1,1,1
368,Graduate (original),0.67799997,0,0,0,0,0,0,0,0,28,0,0,100,0,0,0
369,Graduate (original),0,0.5,0,1.5,0,1,0,0,1,33,29,0,100,0,0,0
370,Graduate (transfer),0.63499999,2.3499999,2.7939999,0,0,1,0,1,1,22,12,0,100,1,0,0
371,Non-Graduate,6,2.6500001,0.86799997,0,0,1,0,1,0,21,0,0,100,3,0,0
372,Graduate (original),0,0,0,0,0,1,0,0,1,28,4,0,100,0,0,0
373,Non-Graduate,1.515992,0,0,0,0,1,0,1,1,27,4,0,100,1,0,0
374,Graduate (original),0,0,0,1,0,1,0,0,1,31,15,0,100,0,0,0
375,Graduate (transfer),2.6860001,4.71,1.294,0,0,1,0,0,1,23,0,0,100,0,1,0
376,Graduate (original),1.872,3.734,1.294,0,0,1,0,0,0,19,0,1,100,2,0,0
377,Graduate (transfer),0,0,7.0619998,0,0,1,0,1,1,25,7,0,100,0,0,0
378,Non-Graduate,12.916,0,0,0,0,0,0,0,1,25,0,0,100,0,0,0
379,Graduate (original),1.087,0.787,2.467,0,0,1,0,0,1,24,0,0,100,1,0,0
380,Non-Graduate,0,4.9460001,1.387,0,0,1,0,0,1,25,0,0,75,2,0,0
381,Graduate (original),0,0,0,0,0,1,0,0,0,28,14,0,100,1,0,0
382,Graduate (original),1.481586,0,0,0,0,1,0,0,1,24,0,0,100,0,0,0
383,Non-Graduate,0,0.84899998,2.4560001,0,0,0,0,0,1,19,0,0,69.230766,1,0,0
384,Graduate (original),1.330685,0,0,0,0,1,0,1,1,23,0,0,68.75,3,0,0
385,Graduate (original),0,0,1.294,0,0,1,0,0,1,23,0,0,100,1,0,0
386,Graduate (transfer),1.226189,0,0,0,0,1,0,1,1,23,0,0,100,0,0,0
387,Graduate (original),1.613,0,1.293,0,0,1,0,0,1,30,11,0,100,0,0,0
388,Graduate (original),0.28200001,3.869,0,1,0,0,0,0,1,21,0,0,100,2,0,0
389,Graduate (original),2.844476,0,0,0,0,0,0,0,1,24,0,0,75,0,0,0
390,Graduate (original),8.8859997,0.15000001,0,1.5,0,0,0,0,1,28,4,0,100,0,0,0
391,Graduate (original),0,0,1.294,1.25,0,1,0,0,0,22,8,0,100,0,0,0
392,Non-Graduate,1.306916,0,0,0,0,1,0,0,0,20,0,0,78.571426,2,1,0
393,Graduate (original),0,0,0.47999999,0,0,1,1,0,1,24,0,0,100,0,0,0
394,Graduate (original),12.136,0.25,0,1.5,0,1,0,0,1,28,0,0,100,0,0,0
395,Graduate (transfer),0,0,0,0,0,1,0,0,0,22,0,1,50,0,2,1
396,Graduate (original),0,0,0,0,0,1,0,0,1,22,0,0,100,0,0,0
397,Graduate (original),0,0.5,5.112,0,0,1,0,1,1,28,0,0,100,1,0,0
398,Non-Graduate,2.678596,0,0,0,0,0,0,0,1,24,0,0,100,0,1,0
399,Graduate (original),3.21,2.677,0,0.5,0,0,0,0,1,25,4,0,100,0,0,0
400,Graduate (original),3.1707389,0,0,0,0,0,0,0,0,26,10,0,100,0,0,0
401,Graduate (original),0,1,0,2.5,0,1,0,1,1,30,21,0,100,0,0,0
402,Graduate (original),0.54400003,0,0,0,0,1,0,1,1,25,0,0,100,0,0,0
403,Non-Graduate,8.0799999,2.352,0,0,0,0,0,0,1,20,0,0,100,2,0,0
404,Non-Graduate,0,1.15,0,0,0,1,0,0,0,27,0,0,100,0,0,0
405,Graduate (original),2.96,5.2290001,1.122,0,0,1,0,0,1,25,7,0,100,1,0,0
406,Non-Graduate,1.373,0.40000001,2.7939999,0,0,1,0,1,0,22,0,0,100,2,0,0
407,Graduate (original),2.596,2.6960001,0,0.5,0,0,0,0,1,23,0,0,100,0,0,0
408,Graduate (original),0,0,0,0,0,1,0,1,0,28,18,0,69.230766,1,0,1
409,Graduate (original),0.336,0.89999998,2.7939999,0,0,1,0,1,1,29,0,0,100,0,0,0
410,Graduate (original),0,0,0,0,0,1,0,1,0,20,0,0,100,1,0,0
411,Graduate (original),0,1.55,2.441,0,0,1,0,1,1,26,0,0,100,1,1,0
412,Graduate (original),9.1359997,0,0,1.5,0,1,0,0,1,32,8,0,100,0,0,0
413,Non-Graduate,1.895565,0,0,0,0,1,0,0,0,20,0,0,68.75,0,1,0
414,Graduate (original),0,0.64999998,2.5610001,0,0,1,0,1,1,26,11,0,100,1,0,0
415,Graduate (original),0,0,3.2449999,1,0,1,0,0,1,27,0,0,100,0,0,0
416,Non-Graduate,15.636,0,0,0,0,1,0,0,1,23,0,0,100,1,1,0
417,Graduate (original),5.6360002,5,0,0,0,1,0,0,1,26,7,0,100,0,0,0
418,Graduate (original),0,2.425,0,0,0,1,0,0,1,23,0,0,100,1,0,0
419,Graduate (original),0,0,0,0,0,1,0,1,1,28,4,0,100,1,0,0
420,Graduate (original),2.2946451,0,0,0,0,1,0,0,1,27,20,0,100,0,0,0
421,Non-Graduate,5.342,3.312,0,0,0,0,0,0,0,21,0,0,73.333344,2,1,0
422,Graduate (original),0,0,1.294,0,0,0,0,0,1,26,6,0,100,1,0,0
423,Graduate (original),3.848,0,0,0,0,1,0,0,1,26,0,0,100,0,0,0
424,Graduate (original),15.136,0,0,0,0,1,0,0,1,27,0,0,100,0,0,0
425,Graduate (original),12.706,0.375,0,0,0,0,0,1,1,31,7,0,100,0,0,0
426,Graduate (original),1.809705,0,0,0,0,1,0,1,1,29,0,0,75,0,0,1
427,Graduate (original),0,0,0,2.5,0,1,0,0,1,31,0,0,100,0,0,0
428,Graduate (transfer),16.32,0,0,0,0,0,1,0,1,22,0,0,0,0,0,0
429,Graduate (original),0,0,3.5439999,0,0,1,0,0,0,22,0,0,100,3,0,0
430,Non-Graduate,2.7927639,0,0,0,0,0,0,0,0,29,0,0,100,1,0,0
431,Graduate (original),14.636,0,0,0.5,0,0,0,0,1,23,0,0,100,1,0,0
432,Graduate (original),2.6819999,0,0,0,1,0,1,0,0,18,0,0,100,2,0,0
433,Graduate (original),0,0,4.7069998,0,0,1,0,0,0,27,11,0,100,2,0,0
434,Graduate (original),0,3.325,0,0.5,0,1,0,1,1,29,13,0,100,0,0,0
435,Graduate (transfer),0,0,0,0,0,1,0,1,1,26,0,0,100,0,0,0
436,Graduate (original),0,0.99900001,5.1810002,0,0,1,0,0,1,26,0,0,100,0,0,0
437,Non-Graduate,1.910901,0,0,0,0,1,0,1,1,30,11,0,100,0,0,0
438,Graduate (original),0,0.30500001,3.2290001,0,0,1,0,0,1,30,35,0,100,1,0,0
439,Non-Graduate,4.7470002,2.3970001,1.5,0,0,0,0,0,1,20,0,0,100,2,0,0
440,Graduate (original),12.456,0,0,0.5,0,1,0,1,1,31,0,0,100,0,0,0
441,Graduate (original),0,0,4.1739998,0,0,1,0,1,1,25,0,0,100,1,0,0
442,Graduate (transfer),0,1.716,6.0929999,0,0,1,0,0,1,29,25,0,100,0,0,0
443,Non-Graduate,3.076556,0,0,0,0,0,0,0,1,29,0,0,64.285713,0,0,1
444,Non-Graduate,2.5840001,0,0,0,0,1,1,0,1,33,14,0,100,0,0,0
445,Graduate (original),0,0,0,0,0,1,0,1,1,27,4,0,100,3,0,0
446,Non-Graduate,0,1.012,7.29075,0,0,1,0,0,1,16,0,1,0,0,0,1
447,Non-Graduate,0,0,0,0,0,1,0,1,1,22,0,0,100,1,0,0
448,Graduate (original),8.6359997,0,0,1,0,1,0,0,1,27,11,0,100,1,0,0
449,Graduate (original),2.016881,0,0,0,0,1,0,0,1,24,8,0,100,0,0,0
450,Graduate (original),0,0,0,0,0,1,0,0,1,29,10,0,100,0,0,0
451,Graduate (original),0,0,0,0,0,1,0,0,1,29,12,0,100,0,0,0
452,Graduate (original),0.109,3.25,1.5,0,0,0,1,0,1,26,4,0,76.470589,0,0,1
453,Non-Graduate,0,0,1.294,0,0,1,0,1,1,31,26,0,100,0,0,0
454,Non-Graduate,0,0,0,0,0,1,0,0,1,29,15,0,100,1,1,0
455,Non-Graduate,1.576309,0,0,0,0,1,0,1,1,21,0,0,100,0,0,0
456,Graduate (original),2.8717351,0,0,0,0,0,0,0,1,28,12,0,108.3333,0,0,0
457,Graduate (transfer),0,4.6479998,3.191,0,0,1,0,0,0,25,0,0,50,2,1,0
458,Graduate (original),0,0,4.8800001,0,0,1,0,0,0,19,0,1,100,0,0,0
459,Graduate (original),0,0,4.132,0,0,1,0,1,1,20,0,0,100,0,0,0
460,Graduate (original),0,0.25,0,0,0,1,0,0,0,29,0,0,100,0,0,0
461,Graduate (original),0,2.2579999,4.0440001,0,0,1,0,0,1,21,0,0,100,1,0,0
462,Non-Graduate,1.6059999,1.128,0,0,0,0,0,0,1,24,4,0,52.941181,0,1,1
463,Graduate (original),0,0,5.494,0,0,1,0,0,1,26,4,0,100,0,0,0
464,Graduate (original),5.96,2.529,2.75,0,0,1,0,0,1,23,0,0,100,2,0,0
465,Graduate (original),0,1,5.006,1,0,1,0,0,1,20,0,0,78.947372,2,0,1
466,Graduate (original),1.746356,0,0,0,0,1,0,1,1,26,11,0,100,0,0,0
467,Graduate (transfer),1.814,0,0,0,0,1,0,1,1,25,0,0,100,0,0,0
468,Graduate (original),0.086000003,0,1.294,0,0,0,0,0,1,29,0,0,81.25,0,0,1
469,Graduate (original),0,0,4.2199998,0,0,1,0,1,1,23,6,0,100,1,0,0
470,Graduate (original),3.0239999,1.505,1.294,0,0,1,0,0,1,20,0,0,100,1,0,0
471,Graduate (original),0.116,4.5679998,0,0,0,1,0,0,1,30,18,0,100,0,0,0
472,Graduate (original),13.105,0,0,0,0,0,1,0,1,22,0,0,100,0,1,0
473,Graduate (transfer),0,0.85000002,3.2639999,0,0,1,0,0,1,24,0,0,75,2,0,0
474,Graduate (original),1.911498,0,0,0,0,1,0,0,1,22,4,0,100,0,0,0
475,Graduate (original),1.074,5.2030001,0,0,0,0,0,0,1,25,0,0,100,0,0,0
476,Graduate (original),2.5769999,3.4760001,0.76099998,0,0,0,0,0,0,18,0,0,100,0,0,0
477,Graduate (original),0,0,3.7320001,0,0,0,0,0,1,35,10,0,100,0,0,0
478,Graduate (original),2.55,1.45,0.69099998,0,0,1,0,1,1,27,10,0,100,1,0,0
479,Graduate (original),1.5089999,3.95,3.266,0,0,1,0,1,1,26,0,0,53.33334,2,0,1
480,Graduate (original),1.7417459,0,0,0,0,1,0,1,1,27,21,0,100,1,0,0
481,Graduate (original),1.890244,0,0,0,0,1,0,0,0,22,0,0,80,0,0,1
482,Graduate (original),1.326753,0,0,0,0,1,0,1,1,22,0,0,100,0,0,0
483,Non-Graduate,0,0,0,0,0,1,0,0,0,21,0,1,53.33334,1,0,0
484,Non-Graduate,0,2.7249999,3.326,0.5,0,1,0,1,1,31,0,0,100,0,0,0
485,Graduate (original),0,0,0,0,0,0,0,1,1,26,10,0,100,0,0,0
486,Graduate (original),1.0190001,1.9299999,0,0,0,1,1,0,0,27,0,0,73.333344,3,0,0
487,Graduate (original),1.767603,0,0,0,0,1,0,0,0,30,0,0,100,1,0,0
488,Non-Graduate,6.8559999,0.55000001,0,0,0,1,0,1,1,29,4,0,100,1,0,0
489,Graduate (original),1.902,3.7520001,0,1,0,0,0,0,1,23,0,0,100,2,0,0
490,Graduate (original),5.1329999,4.2729998,0,0,0,1,0,0,1,27,0,0,100,0,0,0
491,Graduate (original),0.161,0.60000002,0,0.5,0,1,0,1,1,28,23,0,100,0,0,0
492,Graduate (original),0,0.5,1.294,2.5,0,1,0,0,1,31,0,0,100,0,0,0
493,Non-Graduate,0,0,1.294,0,0,1,0,0,1,26,0,0,78.947372,2,0,1
494,Non-Graduate,0,0,6.2119999,0,0,1,0,1,1,25,0,0,100,0,0,0
495,Graduate (original),0,0,7.0619998,0,0,1,0,1,1,26,0,0,100,4,0,0
496,Graduate (transfer),0,0,4.2189999,1,0,1,0,1,1,25,4,0,100,0,0,0
497,Graduate (original),0,0.5,0,1,0,1,0,0,1,19,0,0,123.0769,3,0,0
498,Graduate (original),4.973,0,0,0,0,0,0,0,1,26,4,0,100,1,0,0
499,Non-Graduate,7.8179998,0,0,0,0,1,0,0,0,28,0,0,68.75,1,0,1
500,Graduate (transfer),1.093501,0,0,0,0,0,0,0,1,22,0,0,120,4,1,1
501,Non-Graduate,0,0,6.1750002,0,0,1,0,0,1,18,0,0,100,1,0,0
502,Non-Graduate,0,0,5.8150001,0,0,0,0,0,0,21,0,0,0,0,0,4
503,Non-Graduate,0,4.737,1.294,0,0,1,0,0,1,25,0,0,100,0,0,0
504,Graduate (original),13.456,0.5,0,0,0,1,0,1,1,26,0,0,100,2,0,0
505,Graduate (original),1.872,2.3529999,0.912,0,0,0,0,0,1,27,0,0,100,0,0,0
506,Graduate (original),0,0,4.3049998,0,0,1,0,1,0,28,4,0,100,0,0,0
507,Graduate (original),1.543123,0,0,0,0,1,0,1,0,26,0,0,100,1,0,0
508,Graduate (original),0,0,7.6929998,0,0,1,0,0,1,27,4,0,100,0,0,0
509,Graduate (original),0.248,2.2119999,4.1900001,0,0,1,0,0,1,27,0,0,100,3,1,0
510,Graduate (original),0,0,11.714,0,0,0,1,0,0,22,0,0,100,2,0,0
511,Non-Graduate,3.523474,0,0,0,0,0,0,0,1,21,0,0,53.33334,0,0,0
512,Graduate (original),0.88300002,6.0830002,0,0,0,1,0,0,1,20,4,0,73.333344,3,0,0
513,Graduate (original),0,0,0,0,0,1,0,0,0,29,0,0,100,0,0,0
514,Non-Graduate,15.636,0,0,0,0,1,0,0,1,27,0,0,106.25,1,0,0
515,Graduate (original),2.7360001,0,0,0,0,1,0,0,1,23,0,0,82.352943,0,0,1
516,Graduate (original),0,0,6.1750002,0,0,1,0,0,0,25,0,0,69.230766,1,1,1
517,Graduate (original),0,0.125,1.294,0,0,1,0,0,1,22,0,0,100,0,0,0
518,Graduate (original),13.636,0,0,1,0,0,0,0,1,33,16,0,100,0,0,0
519,Non-Graduate,0,0,0,0,0,1,0,0,1,26,0,0,100,0,0,0
520,Graduate (original),1.842,0.51800001,1.294,0,0,0,0,0,0,21,0,0,100,0,0,0
521,Graduate (original),6.3860002,0,0,1.5,0,1,0,0,1,30,0,0,100,0,0,0
522,Graduate (original),1.762401,0,0,0,0,1,0,0,1,22,0,0,100,0,0,0
523,Graduate (original),0,0.60000002,1.294,0,0,1,0,1,1,29,6,0,100,1,0,0
524,Graduate (original),1.346032,0,0,0,0,1,0,0,0,21,0,0,100,1,0,0
525,Non-Graduate,1.65321,0,0,0,0,1,0,0,1,25,0,0,100,1,0,0
526,Graduate (original),0,0,7.6929998,0,0,1,0,0,1,23,0,0,100,0,0,0
527,Non-Graduate,0,0,7.6370001,0,0,1,0,0,0,19,0,1,100,1,0,0
528,Graduate (original),1.7750829,0,0,0,0,1,0,1,0,26,0,0,82.352943,0,0,1
529,Non-Graduate,0,0,0,0,0,1,0,0,1,23,0,0,100,1,0,0
530,Graduate (original),5.855,5.2290001,0,0,0,0,0,0,0,20,0,0,100,3,0,0
531,Non-Graduate,0,2.2,0,0,0,1,0,0,1,22,0,0,100,2,0,0
532,Graduate (original),0,0,1.294,0,0,1,0,1,1,25,4,0,100,0,0,0
533,Graduate (original),0.102,0,1.294,0,0,1,0,0,1,23,4,0,100,1,0,0
534,Non-Graduate,0,0,0,0,0,0,0,0,1,28,0,0,100,1,0,0
535,Graduate (original),2.220556,0,0,0,0,0,0,0,1,23,0,0,100,1,0,0
536,Graduate (original),0,1.742,6.1690001,0,0,0,0,0,1,29,7,0,100,0,0,0
537,Graduate (original),0.127,0,1.294,0,0,1,0,0,1,19,0,0,100,1,0,0
538,Graduate (original),0,0.25,7.3930001,0,0,1,0,0,1,28,8,0,100,0,0,0
539,Graduate (original),2.283,1.223,0,0,0,0,0,0,1,21,0,0,100,2,0,0
540,Graduate (original),0,0.875,1.294,0,0,1,0,0,0,26,0,0,76.470589,3,0,1
541,Graduate (original),8.0170002,3.7750001,0,0,0,1,0,0,1,22,0,0,100,2,0,0
542,Graduate (original),2.7699959,0,0,0,0,1,1,0,1,24,0,0,100,1,0,0
543,Graduate (original),1.963645,0,0,0,0,1,0,0,1,25,6,0,77.777779,0,0,1
544,Graduate (original),2.9009719,0,0,0,0,1,1,0,1,28,4,0,100,1,0,0
545,Graduate (original),12.443,0,0,0,0,1,0,0,1,28,4,0,100,0,0,0
546,Non-Graduate,1.7472121,0,0,0,0,1,0,1,0,25,0,0,100,0,0,0
547,Non-Graduate,4.3039999,0.551,5.585,0,0,1,0,0,0,23,0,0,71.428574,2,1,0
548,Graduate (original),0,0,5.3899999,0,0,1,0,1,1,23,0,0,100,0,0,0
549,Graduate (original),2.8776491,0,0,0,0,1,1,0,1,23,0,0,100,0,0,0
550,Graduate (transfer),2.3106451,0,0,0,0,1,1,0,1,25,0,0,100,1,0,0
551,Graduate (original),0,1.5,0.345,0,0,1,0,1,1,31,0,0,100,0,0,0
552,Graduate (original),0,0,0,0,0,0,0,0,1,24,4,0,100,0,0,0
553,Graduate (original),1.70427,0,0,0,0,1,0,1,1,31,0,0,100,0,0,0
554,Graduate (transfer),1.9529999,3.55,0,0,0,1,0,1,1,24,0,0,100,2,0,0
555,Graduate (original),0,0,4.5120001,0,0,1,0,0,1,21,0,0,100,1,0,0
556,Graduate (transfer),0,2,0,0,0,0,0,1,0,25,4,0,100,0,0,0
557,Non-Graduate,0.081,3.4960001,0,0,0,0,0,0,1,16,0,1,73.333344,2,2,0
558,Non-Graduate,1.440447,0,0,0,0,1,0,0,0,21,0,1,100,0,0,0
559,Graduate (original),0,0,7.6370001,0,0,1,0,1,0,27,0,0,100,1,0,0
560,Graduate (original),0,0,0,2.5,0,1,0,1,0,34,0,0,100,0,0,0
561,Graduate (original),1.742782,0,0,0,0,1,0,0,1,32,0,0,100,1,0,0
562,Non-Graduate,0.331,0.5,2.7939999,0,0,1,0,0,0,20,0,0,100,1,0,0
563,Graduate (original),0,0,6.1739998,0,0,1,0,0,1,23,0,0,73.333344,1,1,0
564,Graduate (original),0.007,4.8610001,0,1,0,1,0,0,0,23,4,0,100,0,0,0
565,Non-Graduate,8.7399998,3.0420001,0,0,0,0,0,0,1,22,0,0,0,0,0,4
566,Graduate (original),2.986331,0,0,0,0,1,1,0,1,25,23,0,100,0,0,0
567,Graduate (original),0,0,7.1490002,0,0,1,0,0,1,24,0,0,100,2,0,0
568,Graduate (original),0,1.85,2.5409999,0.5,0,1,1,0,1,30,4,0,100,1,0,0
569,Graduate (original),1.598559,0,0,0,0,1,0,0,1,28,4,0,100,2,0,0
570,Non-Graduate,1.580755,0,0,0,0,1,0,0,0,24,11,0,81.25,3,1,0
571,Graduate (original),0,0,0,0,0,1,1,0,1,27,8,0,100,0,0,0
572,Graduate (transfer),0,0.33899999,5.8249998,0,0,1,0,0,1,27,0,0,80,1,0,0
573,Graduate (original),0,2.75,3.2490001,1.75,0,1,0,0,1,30,0,0,93.333344,1,0,1
574,Graduate (original),1.7695301,0,0,0,0,1,0,0,1,26,0,0,100,0,0,0
575,Graduate (original),0,1.7819999,4.5139999,0,0,1,0,0,1,24,0,0,100,3,0,0
576,Graduate (original),0,0,6.3429999,0,0,1,0,0,0,18,0,1,100,0,0,0
577,Graduate (transfer),6.2059999,3.2290001,1.294,0,0,1,0,0,1,24,0,0,100,0,0,0
578,Graduate (original),0,1.152,0,0.125,0,1,0,0,1,24,0,0,100,1,0,0
579,Non-Graduate,0,0,1.295,0,0,0,0,0,1,30,8,0,100,2,0,0
580,Non-Graduate,4.2839999,2.6240001,1.294,1,0,1,0,0,1,22,0,0,100,0,0,0
581,Graduate (original),1.85,0,2.7939999,0,0,1,0,1,1,25,0,0,100,0,0,0
582,Graduate (transfer),0,0,6.6570001,0,0,1,0,0,0,23,0,0,100,2,0,0
583,Graduate (original),0,3.0999999,0,2.5,0,1,0,1,1,31,31,0,100,0,0,0
584,Graduate (original),0,3.7409999,0,2,0,1,0,0,1,25,4,0,100,0,0,0
585,Graduate (original),2.7381811,0,0,0,0,0,0,0,1,26,0,0,100,0,0,0
586,Graduate (original),0,0.37900001,5.9260001,0,0,1,0,0,1,28,4,0,100,0,0,0
587,Graduate (original),2.869158,0,0,0,0,0,0,0,1,30,4,0,100,0,0,0
588,Non-Graduate,0,0,6.1750002,0,0,1,0,0,1,23,0,0,46.666672,1,1,1
589,Graduate (original),0,0,0,0,0,1,0,0,1,24,11,0,100,0,0,0
590,Non-Graduate,5.2010002,3.1570001,2.4159999,0,0,0,0,0,0,19,0,1,100,2,0,0
591,Graduate (original),0,0,6.1690001,0,0,1,0,0,1,33,8,0,100,0,0,0
592,Non-Graduate,0.33000001,4.6339998,0.24699999,0,0,0,0,0,0,20,0,1,100,1,0,0
593,Non-Graduate,0,2.2179999,0,0,0,1,0,0,1,24,0,0,53.33334,1,1,0
594,Non-Graduate,0,5.0279999,1.319,0,0,1,0,0,1,16,0,1,100,3,0,0
595,Non-Graduate,0.81400001,0,0,0,0,1,0,0,1,27,0,0,77.777779,1,0,1
596,Non-Graduate,0,5.1570001,0.75999999,0,0,1,0,0,1,14,0,1,100,0,0,0
597,Non-Graduate,1.336,2.75,1.661,0,0,1,0,1,1,27,0,0,100,2,0,0
598,Graduate (original),12.636,0,0,1.5,0,1,0,0,1,31,41,0,100,0,0,0
599,Non-Graduate,1.260538,0,0,0,0,1,0,0,0,24,0,1,100,0,0,0
